id_batiment,etat,nb_infra,longueur_totale,nb_maisons
E000001,intact,4,109.17,4
E000002,intact,4,102.69,1
E000003,a_reparer,5,79.17,1
E000004,intact,5,129.89,1
E000005,intact,5,133.9,1
E000006,intact,5,139.62,1
E000007,intact,6,99.48,1
E000008,intact,6,95.73,1
E000009,intact,6,97.51,1
E000010,intact,6,100.83,1
E000011,intact,6,103.05,1
E000012,intact,6,171.21,1
E000013,intact,6,172.91,1
E000014,intact,6,174.58,1
E000015,intact,6,170.17,1
E000016,intact,6,168.07,1
E000017,intact,7,190.25,1
E000018,intact,7,191.64,1
E000019,intact,7,192.28,1
E000020,intact,7,192.52,1
E000021,intact,7,195.16,1
E000022,intact,7,187.2,1
E000023,intact,7,191.33,1
E000024,intact,7,193.11,1
E000025,intact,7,230.39,1
E000026,intact,7,233.51,1
E000027,intact,7,236.81,1
E000028,intact,7,240.39,1
E000029,intact,7,190.21,1
E000030,intact,7,190.45,1
E000031,intact,7,191.88,1
E000032,intact,7,194.0,1
E000033,intact,7,195.99,1
E000034,intact,7,182.82,1
E000035,intact,7,190.6,1
E000036,intact,7,200.42,1
E000037,intact,7,202.89,1
E000038,intact,7,209.15,1
E000039,intact,7,173.87,1
E000040,intact,7,197.54,1
E000041,intact,7,205.49,1
E000042,intact,7,230.46,1
E000043,intact,7,231.53,1
E000044,intact,7,234.76,1
E000045,intact,8,212.33,1
E000046,intact,8,219.24,1
E000047,intact,8,220.28,1
E000048,intact,8,222.16,1
E000049,intact,8,241.16,1
E000050,intact,8,241.12,1
E000051,intact,8,241.45,1
E000052,intact,8,242.45,1
E000053,intact,8,222.31,1
E000054,intact,8,222.3,1
E000055,intact,8,223.36,1
E000056,intact,8,223.93,1
E000057,intact,8,224.42,1
E000058,intact,8,235.29,1
E000059,intact,8,237.23,1
E000060,intact,8,189.54,1
E000061,intact,8,209.7,1
E000062,intact,8,219.99,1
E000063,intact,8,200.91,1
E000064,intact,8,201.93,1
E000065,intact,8,207.6,1
E000066,intact,8,208.64,1
E000067,a_reparer,8,184.8,1
E000068,intact,8,243.44,1
E000069,intact,8,246.63,1
E000070,intact,8,257.31,1
E000071,intact,8,262.89,1
E000072,intact,8,238.46,1
E000073,intact,8,240.24,1
E000074,intact,8,240.54,1
E000075,intact,8,253.06,1
E000076,intact,8,254.87,1
E000077,intact,8,256.98,1
E000078,intact,8,258.13,1
E000079,intact,8,261.1,1
E000080,intact,8,266.13,1
E000081,intact,8,243.73,1
E000082,intact,9,271.82,1
E000083,intact,9,281.05,1
E000084,intact,9,283.53,1
E000085,a_reparer,9,218.64,1
E000086,intact,10,255.56,1
E000087,intact,10,256.29,1
E000088,intact,10,258.1,1
E000089,intact,10,262.21,1
E000090,intact,10,269.88,1
E000091,intact,10,270.37,1
E000092,intact,10,273.72,1
E000093,intact,10,277.49,1
E000094,intact,10,271.21,1
E000095,intact,10,272.89,1
E000096,intact,10,274.17,1
E000097,intact,10,278.49,1
E000098,a_reparer,10,274.02,1
E000099,intact,10,305.99,1
E000100,intact,10,309.42,1
E000101,intact,10,284.95,1
E000102,intact,10,286.72,1
E000103,intact,10,319.47,1
E000104,intact,10,321.69,1
E000105,intact,10,320.1,1
E000106,a_reparer,10,226.55,1
E000107,a_reparer,10,228.53,1
E000108,a_reparer,10,239.65,1
E000109,a_reparer,10,240.35,1
E000110,a_reparer,10,250.39,1
E000111,a_reparer,10,243.89,1
E000112,a_reparer,11,314.89,1
E000113,intact,11,345.89,1
E000114,intact,11,273.11,1
E000115,intact,11,274.57,1
E000116,intact,11,276.18,1
E000117,intact,11,279.84,1
E000118,intact,12,371.4,1
E000119,intact,12,373.34,1
E000120,intact,12,341.51,1
E000121,intact,13,379.5,1
E000122,intact,13,415.43,1
E000123,intact,13,430.32,1
E000124,intact,13,378.87,1
E000125,intact,13,381.3,1
E000126,intact,13,391.97,1
E000127,a_reparer,13,344.16,1
E000128,a_reparer,13,293.72,1
E000129,a_reparer,13,323.42,1
E000130,intact,14,387.66,1
E000131,intact,14,396.05,1
E000132,intact,14,401.66,1
E000133,intact,14,402.0,1
E000134,intact,14,407.32,1
E000135,intact,14,430.41,1
E000136,intact,14,434.82,1
E000137,intact,14,441.35,1
E000138,intact,14,446.44,1
E000139,intact,14,433.99,1
E000140,intact,14,434.5,1
E000141,intact,14,439.66,1
E000142,intact,14,431.11,1
E000143,intact,14,435.82,1
E000144,a_reparer,14,367.98,1
E000145,a_reparer,14,357.32,1
E000146,a_reparer,14,338.14,1
E000147,intact,15,554.34,4
E000148,intact,15,481.21,1
E000149,intact,15,487.73,1
E000150,intact,15,482.07,1
E000151,intact,15,490.94,1
E000152,intact,15,464.56,1
E000153,intact,15,466.1,1
E000154,intact,15,442.92,1
E000155,intact,15,449.31,1
E000156,intact,15,417.63,1
E000157,intact,15,422.66,1
E000158,intact,15,424.12,1
E000159,intact,15,428.14,1
E000160,a_reparer,15,354.92,1
E000161,a_reparer,15,364.01,1
E000162,intact,16,597.33,1
E000163,intact,16,604.05,1
E000164,intact,16,482.45,1
E000165,intact,16,484.22,1
E000166,intact,16,487.97,1
E000167,intact,16,489.46,1
E000168,intact,16,490.5,1
E000169,intact,16,490.76,1
E000170,intact,16,492.78,1
E000171,intact,16,493.56,1
E000172,intact,16,433.56,1
E000173,intact,16,440.48,1
E000174,a_reparer,16,395.71,1
E000175,a_reparer,16,417.51,1
